Companion Name, Actor Name
'River Song', 'Alex Kingston'
'Rory Williams', 'Arthur Darvill'
'Wilfred Mott', 'Bernard Cribbins'
'Rose Tyler', 'Billie Piper'
'Adam Mitchell', 'Bruno Langley'
'Donna Noble', 'Catherine Tate'
'Jackson Lake', 'David Morrissey'
'Sarah Jane Smith', 'Elisabeth Sladen'
'Martha Jones', 'Freema Agyeman'
'Craig Owens', 'James Corden'
'Clara Oswald', 'Jenna Coleman'
'Jack Harkness', 'John Barrowman'
'Amy Pond', 'Karen Gillan'
'Astrid Peth', 'Kylie Minogue'
'Adelaide Brooke', 'Lindsay Duncan'
'Lady Christina de Souza', 'Michelle Ryan'
'Mickey Smith', 'Noel Clarke'
'Rosita Farisi', 'Velle Tshabalala'
